id,name,parsecs_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
4757,Kepler-626 b,635.643,5.86 Earths,14.086,2016,https://science.nasa.gov/exoplanet-catalog/kepler-626-b/
4758,Kepler-625 c,760.708,1.16 Earths,13.395,2016,https://science.nasa.gov/exoplanet-catalog/kepler-625-c/
4759,Kepler-625 b,760.708,4.62 Earths,13.395,2016,https://science.nasa.gov/exoplanet-catalog/kepler-625-b/
4760,Kepler-624 b,748.188,5.95 Earths,13.637,2016,https://science.nasa.gov/exoplanet-catalog/kepler-624-b/
4761,Kepler-381 b,267.323,0.937 Earths,10.47,2014,https://science.nasa.gov/exoplanet-catalog/kepler-381-b/
4762,Kepler-380 c,813.713,2.15 Earths,13.74,2014,https://science.nasa.gov/exoplanet-catalog/kepler-380-c/
4763,Kepler-379 c,731.274,5.86 Earths,13.475,2014,https://science.nasa.gov/exoplanet-catalog/kepler-379-c/
4764,Kepler-379 b,731.274,3.39 Earths,13.475,2014,https://science.nasa.gov/exoplanet-catalog/kepler-379-b/
4765,Kepler-378 c,152.094,0.271 Earths,12.619,2014,https://science.nasa.gov/exoplanet-catalog/kepler-378-c/
4766,Kepler-378 b,152.094,0.347 Earths,12.619,2014,https://science.nasa.gov/exoplanet-catalog/kepler-378-b/
4767,Kepler-377 b,823.804,2.51 Earths,14.081,2014,https://science.nasa.gov/exoplanet-catalog/kepler-377-b/
4768,Kepler-376 c,923.067,3.86 Earths,13.86,2014,https://science.nasa.gov/exoplanet-catalog/kepler-376-c/
4769,Kepler-376 b,923.067,1.24 Earths,13.86,2014,https://science.nasa.gov/exoplanet-catalog/kepler-376-b/
4770,Kepler-364 c,891.462,5.27 Earths,13.754,2014,https://science.nasa.gov/exoplanet-catalog/kepler-364-c/
4771,Kepler-362 c,1090.51,2.7 Earths,14.608,2014,https://science.nasa.gov/exoplanet-catalog/kepler-362-c/
4772,Kepler-360 c,876.044,5.06 Earths,15.011,2014,https://science.nasa.gov/exoplanet-catalog/kepler-360-c/
4773,Kepler-359 b,1443.21,12.2 Earths,15.805,2014,https://science.nasa.gov/exoplanet-catalog/kepler-359-b/
4774,Kepler-357 c,688.573,7.61 Earths,15.735,2014,https://science.nasa.gov/exoplanet-catalog/kepler-357-c/
4775,Kepler-355 b,1432.17,2.73 Earths,15.242,2014,https://science.nasa.gov/exoplanet-catalog/kepler-355-b/
4776,Kepler-353 c,384.694,2.48 Earths,16.126,2014,https://science.nasa.gov/exoplanet-catalog/kepler-353-c/
